Livre	NOM	livre
premier	NUM	premier
--	PUN	--
Quelques	NAM	quelques
pages	NOM	page
d'	PRP	de
histoire	NOM	histoire
Chapitre	NAM	chapitre
I	NUM	i
--	PUN	--
Bien	NAM	bien
coupé	NOM	coupé
1831	NUM	@card@
et	KON	et
1832	NUM	@card@
,	PUN	,
les	DET:ART	le
deux	NUM	deux
années	NOM	année
qui	PRO:REL	qui
se	PRO:PER	se
rattachent	VER:pres	rattacher
immédiatement	ADV	immédiatement
à	PRP	à
la	DET:ART	le
Révolution	NOM	révolution
de	PRP	de
Juillet	NAM	juillet
,	PUN	,
sont	VER:pres	être
un	DET:ART	un
des	PRP:det	du
moments	NOM	moment
les	DET:ART	le
plus	ADV	plus
particuliers	ADJ	particulier
et	KON	et
les	DET:ART	le
plus	ADV	plus
frappants	ADJ	frappant
de	PRP	de
l'	DET:ART	le
histoire	NOM	histoire
.	SENT	.
<EOS>	<EOS>	<EOS>
Ces	PRO:DEM	ce
deux	NUM	deux
années	NOM	année
au	PRP:det	au
milieu	NOM	milieu
de	PRP	de
celles	PRO:DEM	celui
qui	PRO:REL	qui
les	PRO:PER	la|le
précèdent	VER:pres	précéder
et	KON	et
qui	PRO:REL	qui
les	PRO:PER	la|le
suivent	VER:pres	suivre
sont	VER:pres	être
comme	ADV	comme
deux	NUM	deux
montagnes	NOM	montagne
.	SENT	.
<EOS>	<EOS>	<EOS>
Elles	PRO:PER	elle
ont	VER:pres	avoir
la	DET:ART	le
grandeur	NOM	grandeur
révolutionnaire	ADJ	révolutionnaire
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
y	PRO:PER	y
distingue	VER:pres	distinguer
des	PRP:det	du
précipices	NOM	précipice
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
masses	NOM	masse
sociales	ADJ	social
,	PUN	,
les	DET:ART	le
assises	NOM	assise
mêmes	ADJ	même
de	PRP	de
la	DET:ART	le
civilisation	NOM	civilisation
,	PUN	,
le	DET:ART	le
groupe	NOM	groupe
solide	ADJ	solide
des	PRP:det	du
intérêts	NOM	intérêt
superposés	VER:pper	superposer
et	KON	et
adhérents	ADJ	adhérent
,	PUN	,
les	DET:ART	le
profils	NOM	profil
séculaires	ADJ	séculaire
de	PRP	de
l'	DET:ART	le
antique	ADJ	antique
formation	NOM	formation
française	ADJ	français
,	PUN	,
y	PRO:PER	y
apparaissent	VER:pres	apparaître
et	KON	et
y	PRO:PER	y
disparaissent	VER:pres	disparaître
à	PRP	à
chaque	PRO:IND	chaque
instant	NOM	instant
à	PRP	à
travers	NOM	travers
les	DET:ART	le
nuages	NOM	nuage
orageux	ADJ	orageux
des	PRP:det	du
systèmes	NOM	système
,	PUN	,
des	PRP:det	du
passions	NOM	passion
et	KON	et
des	PRP:det	du
théories	NOM	théorie
.	SENT	.
<EOS>	<EOS>	<EOS>
Ces	PRO:DEM	ce
apparitions	NOM	apparition
et	KON	et
ces	PRO:DEM	ce
disparitions	NOM	disparition
ont	VER:pres	avoir
été	VER:pper	être
nommées	VER:pper	nommer
la	DET:ART	le
résistance	NOM	résistance
et	KON	et
le	DET:ART	le
mouvement	NOM	mouvement
[	PUN	[
1	NUM	@card@
]	PUN	]
.	SENT	.
<EOS>	<EOS>	<EOS>
Par	PRP	par
intervalles	NOM	intervalle
on	PRO:PER	on
y	PRO:PER	y
voit	VER:pres	voir
luire	VER:infi	luire
la	DET:ART	le
vérité	NOM	vérité
,	PUN	,
ce	PRO:DEM	ce
jour	NOM	jour
de	PRP	de
l'	DET:ART	le
âme	NOM	âme
humaine	ADJ	humain
.	SENT	.
<EOS>	<EOS>	<EOS>
Cette	PRO:DEM	ce
remarquable	ADJ	remarquable
époque	NOM	époque
est	VER:pres	être
assez	ADV	assez
circonscrite	VER:pper	circonscrire
et	KON	et
commence	VER:pres	commencer
à	PRP	à
s'	PRO:PER	se
éloigner	VER:infi	éloigner
assez	ADV	assez
de	PRP	de
nous	PRO:PER	nous
pour	KON	pour
qu'	PRO:REL	que
on	PRO:PER	on
puisse	VER:subp	pouvoir
en	PRP	en
saisir	VER:infi	saisir
dès	PRP	dès
à	PRP	à
présent	ADJ	présent
les	DET:ART	le
lignes	NOM	ligne
principales	ADJ	principal
.	SENT	.
<EOS>	<EOS>	<EOS>
Nous	PRO:PER	nous
allons	VER:pres	aller
l'	PRO:PER	la|le
essayer	VER:infi	essayer
.	SENT	.
<EOS>	<EOS>	<EOS>
La	DET:ART	le
Restauration	NOM	restauration
avait	VER:impf	avoir
été	VER:pper	être
une	NUM	un
de	PRP	de
ces	PRO:DEM	ce
phases	NOM	phase
intermédiaires	ADJ	intermédiaire
difficiles	ADJ	difficile
à	PRP	à
définir	VER:infi	définir
,	PUN	,
où	PRO:REL	où
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
de	PRP	de
la	DET:ART	le
fatigue	NOM	fatigue
,	PUN	,
du	PRP:det	du
bourdonnement	NOM	bourdonnement
,	PUN	,
des	PRP:det	du
murmures	NOM	murmure
,	PUN	,
du	PRP:det	du
sommeil	NOM	sommeil
,	PUN	,
du	PRP:det	du
tumulte	NOM	tumulte
,	PUN	,
et	KON	et
qui	PRO:REL	qui
ne	ADV	ne
sont	VER:pres	être
autre	ADJ	autre
chose	NOM	chose
que	KON	que
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
d'	PRP	de
une	DET:ART	un
grande	ADJ	grand
nation	NOM	nation
à	PRP	à
une	DET:ART	un
étape	NOM	étape
.	SENT	.
<EOS>	<EOS>	<EOS>
Ces	PRO:DEM	ce
époques	NOM	époque
sont	VER:pres	être
singulières	ADJ	singulier
et	KON	et
trompent	VER:pres	tromper
les	DET:ART	le
politiques	ADJ	politique
qui	PRO:REL	qui
veulent	VER:pres	vouloir
les	PRO:PER	la|le
exploiter	VER:infi	exploiter
.	SENT	.
<EOS>	<EOS>	<EOS>
Au	PRP:det	au
début	NOM	début
,	PUN	,
la	DET:ART	le
nation	NOM	nation
ne	ADV	ne
demande	VER:pres	demander
que	KON	que
le	DET:ART	le
repos	NOM	repos
;	PUN	;
on	PRO:PER	on
n'	ADV	ne
a	VER:pres	avoir
qu'	KON	que
une	DET:ART	un
soif	NOM	soif
,	PUN	,
la	DET:ART	le
paix	NOM	paix
;	PUN	;
on	PRO:PER	on
n'	ADV	ne
a	VER:pres	avoir
qu'	KON	que
une	DET:ART	un
ambition	NOM	ambition
,	PUN	,
être	VER:infi	être
petit	ADJ	petit
.	SENT	.
<EOS>	<EOS>	<EOS>
Ce	PRO:DEM	ce
qui	PRO:REL	qui
est	VER:pres	être
la	DET:ART	le
traduction	NOM	traduction
de	PRP	de
rester	VER:infi	rester
tranquille	ADJ	tranquille
.	SENT	.
<EOS>	<EOS>	<EOS>
Les	DET:ART	le
grands	ADJ	grand
événements	NOM	événement
,	PUN	,
les	DET:ART	le
grands	ADJ	grand
hasards	NOM	hasard
,	PUN	,
les	DET:ART	le
grandes	ADJ	grand
aventures	NOM	aventure
,	PUN	,
les	DET:ART	le
grands	ADJ	grand
hommes	NOM	homme
,	PUN	,
Dieu	NOM	dieu
merci	NOM	merci
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
a	VER:pres	avoir
assez	ADV	assez
vu	VER:pper	voir
,	PUN	,
on	PRO:PER	on
en	PRO:PER	en
a	VER:pres	avoir
par-dessus	ADV	par-dessus
la	DET:ART	le
tête	NOM	tête
.	SENT	.
<EOS>	<EOS>	<EOS>
On	PRO:PER	on
donnerait	VER:cond	donner
César	NAM	césar
pour	PRP	pour
Prusias	NAM	prusias
et	KON	et
Napoléon	NAM	napoléon
pour	PRP	pour
le	DET:ART	le
roi	NOM	roi
d'	PRP	de
Yvetot	NAM	yvetot
[	PUN	[
2	NUM	@card@
]	PUN	]
.	SENT	.
<EOS>	<EOS>	<EOS>
«	PUN:cit	«
Quel	NAM	quel
bon	ADV	bon
petit	ADJ	petit
roi	NOM	roi
c'	PRO:DEM	ce
était	VER:impf	être
là	ADV	là
!	SENT	!
<EOS>	<EOS>	<EOS>
»	PUN:cit	»
On	NAM	on
a	VER:pres	avoir
marché	VER:pper	marcher
depuis	PRP	depuis
le	DET:ART	le
point	NOM	point
du	PRP:det	du
jour	NOM	jour
,	PUN	,
on	PRO:PER	on
est	VER:pres	être
au	PRP:det	au
soir	NOM	soir
d'	PRP	de
une	DET:ART	un
longue	ADJ	longue
et	KON	et
rude	ADJ	rude
journée	NOM	journée
;	PUN	;
on	PRO:PER	on
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
premier	NUM	premier
relais	NOM	relais
avec	PRP	avec
Mirabeau	NAM	mirabeau
,	PUN	,
le	DET:ART	le
second	NOM	second
avec	PRP	avec
Robespierre	NAM	robespierre
,	PUN	,
le	DET:ART	le
troisième	NUM	troisième
avec	PRP	avec
Bonaparte	NAM	bonaparte
;	PUN	;
on	PRO:PER	on
est	VER:pres	être
éreinté	VER:pper	éreinter
.	SENT	.
<EOS>	<EOS>	<EOS>
Chacun	PRO:IND	chacun
demande	VER:pres	demander
un	DET:ART	un
lit	NOM	lit
