Livre	NOUN	livre
premier	NUM	premier
--	PUNCT	--
Quelques	NOUN	quelques
pages	NOUN	page
d'	ADP	de
histoire	NOUN	histoire
Chapitre	NOUN	chapitre
I	NUM	i
--	PUNCT	--
Bien	NOUN	bien
coupé	NOUN	coupé
1831	NUM	@card@
et	CONJ	et
1832	NUM	@card@
,	PUNCT	,
les	DET	le
deux	NUM	deux
années	NOUN	année
qui	PRON	qui
se	PRON	se
rattachent	VERB	rattacher
immédiatement	ADV	immédiatement
à	ADP	à
la	DET	le
Révolution	NOUN	révolution
de	ADP	de
Juillet	NOUN	juillet
,	PUNCT	,
sont	VERB	être
un	DET	un
des	ADP	du
moments	NOUN	moment
les	DET	le
plus	ADV	plus
particuliers	ADJ	particulier
et	CONJ	et
les	DET	le
plus	ADV	plus
frappants	ADJ	frappant
de	ADP	de
l'	DET	le
histoire	NOUN	histoire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Ces	PRON	ce
deux	NUM	deux
années	NOUN	année
au	ADP	au
milieu	NOUN	milieu
de	ADP	de
celles	PRON	celui
qui	PRON	qui
les	PRON	la|le
précèdent	VERB	précéder
et	CONJ	et
qui	PRON	qui
les	PRON	la|le
suivent	VERB	suivre
sont	VERB	être
comme	ADV	comme
deux	NUM	deux
montagnes	NOUN	montagne
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Elles	PRON	elle
ont	VERB	avoir
la	DET	le
grandeur	NOUN	grandeur
révolutionnaire	ADJ	révolutionnaire
.	PUNCT	.
<EOS>	<EOS>	<EOS>
On	PRON	on
y	PRON	y
distingue	VERB	distinguer
des	ADP	du
précipices	NOUN	précipice
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
masses	NOUN	masse
sociales	ADJ	social
,	PUNCT	,
les	DET	le
assises	NOUN	assise
mêmes	ADJ	même
de	ADP	de
la	DET	le
civilisation	NOUN	civilisation
,	PUNCT	,
le	DET	le
groupe	NOUN	groupe
solide	ADJ	solide
des	ADP	du
intérêts	NOUN	intérêt
superposés	VERB	superposer
et	CONJ	et
adhérents	ADJ	adhérent
,	PUNCT	,
les	DET	le
profils	NOUN	profil
séculaires	ADJ	séculaire
de	ADP	de
l'	DET	le
antique	ADJ	antique
formation	NOUN	formation
française	ADJ	français
,	PUNCT	,
y	PRON	y
apparaissent	VERB	apparaître
et	CONJ	et
y	PRON	y
disparaissent	VERB	disparaître
à	ADP	à
chaque	PRON	chaque
instant	NOUN	instant
à	ADP	à
