Among	PRP	among
the	AT0	the
many	DT0	many
fatalities	NN2	fatality
attending	VVG	attend|attending
the	AT0	the
bloom	NN1	bloom
of	PRF	of
young	AJ0	young
desire	NN1	desire
,	PUN	,
that	DT0	that
of	PRF	of
blindly	AV0	blindly
taking	VVG	take|taking
to	PRP	to
the	AT0	the
confectionery	NN1	confectionery
line	NN1	line
has	VHZ	have
not	XX0	not
,	PUN	,
perhaps	AV0	perhaps
,	PUN	,
been	VBN	be
sufficiently	AV0	sufficiently
considered	VVN	consider|considered
.	SENT	.
How	AVQ	how
is	VBZ	be
the	AT0	the
son	NN1	son
of	PRF	of
a	AT0	a
British	AJ0	british
yeoman	NN1	yeoman
,	PUN	,
who	PNQ	who
has	VHZ	have
been	VBN	be
fed	VVN	feed
principally	AV0	principally
on	PRP	on
salt	NN1	salt
pork	NN1	pork
and	CJC	and
yeast	NN1	yeast
dumplings	NN2	dumpling
,	PUN	,
to	TO0	to
know	VVI	know
that	CJT	that
there	EX0	there
is	VBZ	be
satiety	NN1	satiety
for	PRP	for
the	AT0	the
human	AJ0	human
stomach	NN1	stomach
even	AV0	even
in	PRP	in
a	AT0	a
paradise	NN1	paradise
of	PRF	of
glass	NN1	glass
jars	NN2	jar
full	AJ0	full
of	PRF	of
sugared	AJ0	sugared|sugare
almonds	NN2	almond
and	CJC	and
pink	AJ0	pink
lozenges	NN2	lozenge
,	PUN	,
and	CJC	and
that	CJT	that
the	AT0	the
tedium	NN1	tedium
of	PRF	of
life	NN1	life
can	VM0	can
reach	VVI	reach
a	AT0	a
pitch	NN1	pitch
where	AVQ	where
plum-buns	NN2	plum-buns
at	PRP	at
discretion	NN1	discretion
cease	VVB	cease
to	TO0	to
offer	VVI	offer
the	AT0	the
slightest	AJS	slight
excitement	NN1	excitement
?	SENT	?
Or	CJC	or
how	AVQ	how
,	PUN	,
at	PRP	at
the	AT0	the
tender	AJ0	tender
age	NN1	age
when	CJS	when
a	AT0	a
confectioner	NN1	confectioner
seems	VVZ	seem
to	PRP	to
him	PNP	he
a	AT0	a
very	AJ0	very
prince	NN1	prince
whom	PNQ	whom
all	DT0	all
the	AT0	the
world	NN1	world
must	VM0	must
envy	VVI	envy
who	PNQ	who
breakfasts	VVZ	breakfast
on	PRP	on
macaroons	NN2	macaroon
,	PUN	,
dines	VVZ	dine
on	PRP	on
meringues	NN2	meringue
,	PUN	,
sups	VVZ	sup
on	PRP	on
twelfth-cake	NN1	twelfth-cake
,	PUN	,
and	CJC	and
fills	VVZ	fill
up	AVP	up
the	AT0	the
intermediate	AJ0	intermediate
hours	NN2	hour
with	PRP	with
sugar-candy	NN1	sugar-candy
or	CJC	or
peppermint	NN1	peppermint
how	AVQ	how
is	VBZ	be
he	PNP	he
to	TO0	to
foresee	VVI	foresee
the	AT0	the
day	NN1	day
of	PRF	of
sad	AJ0	sad
wisdom	NN1	wisdom
,	PUN	,
when	CJS	when
he	PNP	he
will	VM0	will
discern	VVI	discern
that	CJT	that
the	AT0	the
confectioner	NN1	confectioner
's	POS	's
calling	NN1	calling|call
is	VBZ	be
not	XX0	not
socially	AV0	socially
influential	AJ0	influential
,	PUN	,
or	CJC	or
favourable	AJ0	favourable
to	PRP	to
a	AT0	a
soaring	AJ0	soaring|soar
ambition	NN1	ambition
?	SENT	?
I	PNP	i
have	VHB	have
known	VVN	know|known
a	AT0	a
man	NN1	man
who	PNQ	who
turned	VVD	turn|turned
out	AVP	out
to	TO0	to
have	VHI	have
a	AT0	a
metaphysical	AJ0	metaphysical
genius	NN1	genius
,	PUN	,
incautiously	AV0	incautiously
,	PUN	,
in	PRP	in
the	AT0	the
period	NN1	period
of	PRF	of
youthful	AJ0	youthful
buoyancy	NN1	buoyancy
,	PUN	,
commence	VVB	commence
his	DPS	he
career	NN1	career
as	PRP	as
a	AT0	a
dancing-master	NN1	dancing-master
;	PUN	;
and	CJC	and
you	PNP	you
may	VM0	may
imagine	VVI	imagine
the	AT0	the
use	NN1	use
that	CJT	that
was	VBD	be
made	VVN	make
of	PRF	of
this	DT0	this
initial	AJ0	initial
mistake	NN1	mistake
by	PRP	by
opponents	NN2	opponent
who	PNQ	who
felt	VVD	feel
themselves	PNX	themselves
bound	VVN	bind|bound
to	TO0	to
warn	VVI	warn
the	AT0	the
public	NN1	public
against	PRP	against
his	DPS	he
doctrine	NN1	doctrine
of	PRF	of
the	AT0	the
Inconceivable	AJ0	inconceivable
.	SENT	.
He	PNP	he
could	VM0	could
not	XX0	not
give	VVI	give
up	AVP	up
his	DPS	he
dancing-lessons	NN2	dancing-lessons
,	PUN	,
because	CJS	because
he	PNP	he
made	VVD	make
his	DPS	he
bread	NN1	bread
by	PRP	by
them	PNP	they
,	PUN	,
and	CJC	and
metaphysics	NN2	metaphysic
would	VM0	would
not	XX0	not
have	VHI	have
found	VVN	find
him	PNP	he
in	PRP	in
so	AV0	so
much	DT0	much
as	PRP	as
salt	NN1	salt
to	PRP	to
his	DPS	he
bread	NN1	bread
.	SENT	.
It	PNP	it
was	VBD	be
really	AV0	really
the	AT0	the
same	DT0	same
with	PRP	with
Mr	NP0	mr
David	NP0	david
Faux	NP0	Faux
and	CJC	and
the	AT0	the
confectionery	NN1	confectionery
business	NN1	business
.	SENT	.
His	DPS	he
uncle	NN1	uncle
,	PUN	,
the	AT0	the
butler	NN1	butler
at	PRP	at
the	AT0	the
great	AJ0	great
house	NN1	house
close	AJ0	close
by	PRP	by
Brigford	NP0	Brigford
,	PUN	,
had	VHD	have
made	VVN	make
a	AT0	a
pet	NN1	pet
of	PRF	of
him	PNP	he
in	PRP	in
his	DPS	he
early	AJ0	early
boyhood	NN1	boyhood
,	PUN	,
and	CJC	and
