PREMIÈRE	NUM	premier
PARTIE	NOUN	partie
--	PUNCT	--
I	NUM	i
--	PUNCT	--
Quand	NOUN	quand
la	DET	le
caissière	NOUN	caissier
lui	PRON	lui
eut	VERB	avoir
rendu	VERB	rendre
la	DET	le
monnaie	NOUN	monnaie
de	ADP	de
sa	PRON	son
pièce	NOUN	pièce
de	ADP	de
cent	NUM	cent
sous	ADP	sous
,	PUNCT	,
Georges	NOUN	georges
Duroy	NOUN	duroy
sortit	VERB	sortir
du	ADP	du
restaurant	NOUN	restaurant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Comme	CONJ	comme
il	PRON	il
portait	VERB	porter
beau	ADJ	beau
par	ADP	par
nature	NOUN	nature
et	CONJ	et
par	ADP	par
pose	NOUN	pose
d'	ADP	de
ancien	ADJ	ancien
sous-officier	NOUN	sous-officier
,	PUNCT	,
il	PRON	il
cambra	VERB	cambrer
sa	PRON	son
taille	NOUN	taille
,	PUNCT	,
frisa	VERB	friser
sa	PRON	son
moustache	NOUN	moustache
d'	ADP	de
un	DET	un
geste	NOUN	geste
militaire	ADJ	militaire
et	CONJ	et
familier	ADJ	familier
,	PUNCT	,
et	CONJ	et
jeta	VERB	jeter
sur	ADP	sur
les	DET	le
dîneurs	NOUN	dîneur
attardés	VERB	attarder
un	DET	un
regard	NOUN	regard
rapide	ADJ	rapide
et	CONJ	et
circulaire	ADJ	circulaire
,	PUNCT	,
un	NUM	un
de	ADP	de
ces	PRON	ce
regards	NOUN	regard
de	ADP	de
joli	ADJ	joli
garçon	NOUN	garçon
,	PUNCT	,
qui	PRON	qui
s'	PRON	se
étendent	VERB	étendre
comme	ADV	comme
des	ADP	du
coups	NOUN	coup
d'	ADP	de
épervier	NOUN	épervier
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Les	DET	le
femmes	NOUN	femme
avaient	VERB	avoir
levé	VERB	lever
la	DET	le
tête	NOUN	tête
vers	ADP	vers
lui	PRON	lui
,	PUNCT	,
trois	NUM	trois
petites	NOUN	petit
